SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label

147.32.84.164,64.12.68.227,tcp,57264,443,RST,0,0,18648,16384,1,23,2011/08/18 15:39:35.096399,2011/08/18 15:55:45.074943,63,105,0.000000,0.000000,0.000000,26,27,1791,2488,363,886,969.978516,53,4279,1249,0.053609,0.026041,0.026808,flow=From-Normal-V52-Grill

147.32.84.164,64.12.73.134,tcp,43869,443,CON,0,0,19024,16384,1,23,2011/08/18 15:39:35.096413,2011/08/18 15:55:35.225068,63,105,0.000000,0.000000,0.000000,19,19,1140,1140,114,0,960.128662,38,2280,114,0.038537,0.018750,0.018750,flow=From-Normal-V52-Grill

147.32.84.164,205.188.8.253,tcp,58187,443,CON,0,0,63920,16384,1,23,2011/08/18 15:39:35.096418,2011/08/18 15:55:35.223087,63,105,0.000000,0.000000,0.000000,65,64,7130,15601,3422,11983,960.126648,129,22731,15405,0.133316,0.066666,0.065624,flow=From-Normal-V52-Grill

147.32.84.134,205.188.17.129,tcp,57238,443,RST,0,0,15540,16384,1,23,2011/08/18 15:39:37.558329,2011/08/18 15:44:03.443006,63,105,0.000000,0.000000,0.000000,8,9,480,540,48,0,265.884674,17,1020,48,0.060176,0.029155,0.030101,flow=From-Normal-V52-Jist

147.32.84.134,64.12.73.133,tcp,51421,443,CON,0,0,19024,16384,1,23,2011/08/18 15:39:37.558339,2011/08/18 15:55:38.058089,63,105,0.000000,0.000000,0.000000,31,31,1860,1860,186,0,960.499756,62,3720,186,0.063509,0.031238,0.031238,flow=From-Normal-V52-Jist

147.32.84.134,205.188.10.203,tcp,53072,443,CON,0,0,63884,16384,1,23,2011/08/18 15:39:37.558343,2011/08/18 15:55:38.057252,63,105,0.000000,0.000000,0.000000,33,33,1980,2286,186,318,960.498901,66,4266,504,0.067673,0.033320,0.033320,flow=From-Normal-V52-Jist

147.32.84.170,147.32.80.9,udp,47226,53,CON,0,0,,,1,1,2011/08/18 15:39:39.889437,2011/08/18 15:39:39.889860,63,63,0.000000,0.000000,0.000000,1,1,74,326,32,284,0.000423,2,400,316,2364.066162,0.000000,0.000000,flow=From-Normal-V52-Stribrek

147.32.84.170,147.32.80.9,udp,58934,53,CON,0,0,,,1,1,2011/08/18 15:39:39.890374,2011/08/18 15:39:39.890830,63,63,0.000000,0.000000,0.000000,1,1,74,326,32,284,0.000456,2,400,316,2192.982422,0.000000,0.000000,flow=From-Normal-V52-Stribrek

