sHops,TotPkts,TotBytes,TotAppByte,Dur,sTtl,TcpRtt,SynAck,SrcPkts,DstPkts,TotAppByte_1,Rate,SrcRate,DstRate,Label
20,3,184,0,2.983247,108,0.000185,0.000185,2,1,0,0.67041,0.335205,0,Normal
20,3,184,0,2.906029,108,0.000146,0.000146,2,1,0,0.688224,0.344112,0,Normal
20,3,184,0,3.030517,108,0.000127,0.000127,2,1,0,0.659953,0.329977,0,Normal
20,3,184,0,6.016227,108,0.000225,0.000225,2,1,0,0.332434,0.166217,0,Normal
20,3,184,0,6.124715,108,0.000203,0.000203,2,1,0,0.326546,0.163273,0,Normal
20,3,184,0,6.015555,108,0.000207,0.000207,2,1,0,0.332471,0.166236,0,Normal
5,4,244,0,1.077735,123,0,0,2,2,0,2.783616,0.927872,1.830161,Normal
2,7,760,344,1.804486,126,0.001461,0.000262,5,2,344,3.325047,2.216698,515.198364,Normal
22,4,252,0,4.178993,106,0,0,2,2,0,0.717876,0.239292,0.500948,Normal
15,8,574,0,45.003994,49,0.000402,0.000402,4,4,0,0.155542,0.066661,0.14283,Normal
15,5,352,0,20.998552,49,0.000519,0.000519,1,4,0,0.190489,0,0.142871,Normal
22,4,252,0,2.977248,106,0,0,2,2,0,1.007642,0.335881,0.677049,Normal
17,8,574,0,44.998299,47,0.000476,0.000476,4,4,0,0.155561,0.066669,0.142867,Normal
17,8,574,0,45.000439,47,0.000367,0.000367,4,4,0,0.155554,0.066666,0.142803,Normal
17,5,352,0,20.992781,47,0.000416,0.000416,1,4,0,0.190542,0,0.142909,Normal
17,5,352,0,20.998692,47,0.000408,0.000408,1,4,0,0.190488,0,0.142869,Normal
15,1,60,0,0,113,0,0,1,0,0,0,0,0,Normal
20,3,184,0,2.953717,108,0.000223,0.000223,2,1,0,0.677113,0.338556,0,Normal
20,3,184,0,2.968016,108,0.000141,0.000141,2,1,0,0.673851,0.336925,0,Normal
20,3,184,0,2.871856,108,0.000184,0.000184,2,1,0,0.696414,0.348207,0,Normal
20,3,184,0,6.013866,108,0.000156,0.000156,2,1,0,0.332565,0.166282,0,Normal
20,3,184,0,6.123614,108,0.000198,0.000198,2,1,0,0.326605,0.163302,0,Normal
20,3,184,0,6.016294,108,8.3e-05,8.3e-05,2,1,0,0.332431,0.166215,0,Normal
5,4,244,0,1.202696,123,0,0,2,2,0,2.494396,0.831465,1.829659,Normal
2,13,1713,927,186.011002,126,0.00184,0.000879,7,6,927,0.064512,0.032256,0.027321,Normal
19,4,244,0,1.24176,109,0,0,2,2,0,2.415926,0.805309,1.560649,Normal
22,4,252,0,2.845453,106,0,0,2,2,0,1.054314,0.351438,0.894527,Normal
23,4,252,0,1.361064,41,0,0,2,2,0,2.204158,0.734719,1.525083,Normal
2,6,450,0,57.007687,126,0,0,5,1,0,0.087707,0.070166,0,Normal
