SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Label
76.76.172.248,147.32.84.229,tcp,63577,13363,RST,0,0,65535,65535,20,1,2011/08/18 15:40:53.826372,2011/08/18 15:40:56.809619,108,127,0.000185,0.000185,0.000000,2,1,122,62,0,0,2.983247,3,184,0,0.670410,0.335205,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63580,443,RST,0,0,65535,65535,20,1,2011/08/18 15:40:55.435494,2011/08/18 15:40:58.341523,108,127,0.000146,0.000146,0.000000,2,1,122,62,0,0,2.906029,3,184,0,0.688224,0.344112,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63582,80,RST,0,0,65535,65535,20,1,2011/08/18 15:40:57.060613,2011/08/18 15:41:00.091130,108,127,0.000127,0.000127,0.000000,2,1,122,62,0,0,3.030517,3,184,0,0.659953,0.329977,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63577,13363,RST,0,0,65535,65535,20,1,2011/08/18 15:40:56.809619,2011/08/18 15:41:02.825846,108,127,0.000225,0.000225,0.000000,2,1,122,62,0,0,6.016227,3,184,0,0.332434,0.166217,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63580,443,RST,0,0,65535,65535,20,1,2011/08/18 15:40:58.341523,2011/08/18 15:41:04.466238,108,127,0.000203,0.000203,0.000000,2,1,122,62,0,0,6.124715,3,184,0,0.326546,0.163273,0.000000,flow=Background-TCP-Established
76.76.172.248,147.32.84.229,tcp,63582,80,RST,0,0,65535,65535,20,1,2011/08/18 15:41:00.091130,2011/08/18 15:41:06.106685,108,127,0.000207,0.000207,0.000000,2,1,122,62,0,0,6.015555,3,184,0,0.332471,0.166236,0.000000,flow=Background-TCP-Established
147.32.3.51,147.32.84.46,tcp,4403,10010,RST,0,0,65535,0,5,1,2011/08/18 15:41:09.668712,2011/08/18 15:41:10.746447,123,63,0.000000,0.000000,0.000000,2,2,124,120,0,0,1.077735,4,244,0,2.783616,0.927872,1.830161,flow=Background-TCP-Attempt
147.32.85.124,147.32.80.7,tcp,50408,80,RST,0,0,17396,65696,2,1,2011/08/18 15:42:22.110734,2011/08/18 15:42:23.915220,126,63,0.001461,0.000262,0.001199,5,2,520,240,220,124,1.804486,7,760,344,3.325047,2.216698,515.198364,flow=Background-TCP-Established
109.144.218.203,147.32.84.59,tcp,54487,43087,RST,0,0,8192,0,22,1,2011/08/18 15:42:40.272158,2011/08/18 15:42:44.451151,106,63,0.000000,0.000000,0.000000,2,2,132,120,0,0,4.178993,4,252,0,0.717876,0.239292,0.500948,flow=Background-Established-cmpgw-CVUT
80.55.144.251,147.32.86.116,tcp,52690,80,RST,0,0,46720,16776960,15,1,2011/08/18 15:42:12.777727,2011/08/18 15:42:57.781721,49,127,0.000402,0.000402,0.000000,4,4,296,278,0,0,45.003994,8,574,0,0.155542,0.066661,0.142830,flow=Background-TCP-Established
